,precision,recall,f1-score,support
Cinepolis,1.0,1.0,1.0,18.0
CityFurnish,1.0,1.0,1.0,14.0
Cityflo,1.0,1.0,1.0,15.0
Clarks,1.0,1.0,1.0,37.0
Cleartrip,1.0,1.0,1.0,20.0
Cloudnine,1.0,1.0,1.0,15.0
Colive,1.0,1.0,1.0,16.0
Colleague,0.0,0.0,0.0,0.0
Commission,1.0,1.0,1.0,21.0
Consulting,1.0,1.0,1.0,18.0
Contact,1.0,1.0,1.0,51.0
Corner House,1.0,1.0,1.0,15.0
Country Delight,1.0,1.0,1.0,21.0
Coursera,1.0,1.0,1.0,19.0
Coursera Plus,1.0,1.0,1.0,20.0
Courtyard,1.0,1.0,1.0,22.0
Cousin,1.0,1.0,1.0,6.0
Cuemath,1.0,1.0,1.0,23.0
Cult Fit,1.0,1.0,1.0,36.0
CureFit,1.0,1.0,1.0,22.0
DDecor,1.0,1.0,1.0,20.0
DMart,1.0,1.0,1.0,20.0
DU,1.0,1.0,1.0,16.0
Dabur,0.9411764705882353,1.0,0.9696969696969697,16.0
Dad,1.0,1.0,1.0,5.0
Dada,1.0,0.9,0.9473684210526315,10.0
Dadi,1.0,1.0,1.0,6.0
Daily Harvest,1.0,1.0,1.0,22.0
Daughter,1.0,1.0,1.0,6.0
Decathlon,1.0,1.0,1.0,22.0
Deepa,1.0,1.0,1.0,5.0
Deepak,1.0,1.0,1.0,4.0
Deezer,1.0,1.0,1.0,14.0
Delhi Jal Board,1.0,1.0,1.0,21.0
Devar,1.0,1.0,1.0,6.0
Dhruv,1.0,1.0,1.0,4.0
Didi,1.0,1.0,1.0,5.0
Didi Ji,1.0,1.0,1.0,6.0
Dinesh,1.0,1.0,1.0,5.0
Disney Hotstar,1.0,1.0,1.0,33.0
Dividend,1.0,1.0,1.0,18.0
Divya,1.0,1.0,1.0,4.0
Diya,1.0,1.0,1.0,5.0
Dominos,1.0,1.0,1.0,15.0
Doubtnut,1.0,1.0,1.0,21.0
Dr Lal PathLabs,1.0,1.0,1.0,18.0
DriveU,1.0,1.0,1.0,14.0
Dunkin,1.0,1.0,1.0,16.0
Duolingo,1.0,1.0,1.0,14.0
Durian,1.0,1.0,1.0,18.0
ESOP,1.0,1.0,1.0,20.0
EaseMyTrip,1.0,1.0,1.0,16.0
Easy Cabs,1.0,1.0,1.0,13.0
Easyday,1.0,1.0,1.0,18.0
Eatfit,1.0,1.0,1.0,18.0
Edureka,1.0,1.0,1.0,20.0
Emeritus,1.0,1.0,1.0,16.0
Equitas,1.0,1.0,1.0,22.0
Eros Now,1.0,1.0,1.0,20.0
Essar,1.0,1.0,1.0,23.0
Essar Oil,1.0,1.0,1.0,19.0
Faasos,1.0,1.0,1.0,14.0
FabHotels,1.0,1.0,1.0,15.0
Fabindia,0.9375,1.0,0.967741935483871,15.0
Fabrento,1.0,1.0,1.0,16.0
Fairfield,1.0,1.0,1.0,13.0
Family,1.0,1.0,1.0,1.0
Farzi Cafe,1.0,1.0,1.0,21.0
Father,1.0,1.0,1.0,4.0
Father in Law,1.0,1.0,1.0,5.0
Fever,1.0,1.0,1.0,13.0
Figma,1.0,1.0,1.0,23.0
Fitternity,1.0,1.0,1.0,15.0
Fittr,1.0,1.0,1.0,23.0
Fiverr,1.0,1.0,1.0,14.0
Flipkart,1.0,1.0,1.0,20.0
Flipkart Supermart,1.0,1.0,1.0,20.0
Forever 21,1.0,1.0,1.0,17.0
Fortis,1.0,1.0,1.0,22.0
Fortune,1.0,1.0,1.0,32.0
Frameboxx,1.0,1.0,1.0,14.0
Freelance,1.0,1.0,1.0,23.0
Freelancer,1.0,1.0,1.0,15.0
FreshToHome,1.0,1.0,1.0,18.0
Freshmenu,1.0,1.0,1.0,18.0
Friend,0.0,0.0,0.0,0.0
Fufa,1.0,1.0,1.0,5.0
Fullerton India,1.0,1.0,1.0,14.0
Furlenco,1.0,1.0,1.0,14.0
GAIL,1.0,1.0,1.0,14.0
GESCOM,1.0,1.0,1.0,17.0
GVMC,1.0,1.0,1.0,20.0
Gaana,1.0,1.0,1.0,39.0
Ganesh,1.0,1.0,1.0,4.0
Gateway,1.0,1.0,1.0,16.0
Gaurav,1.0,1.0,1.0,5.0
Geeta,1.0,1.0,1.0,4.0
Gig Work,1.0,1.0,1.0,20.0
Ginger,1.0,1.0,1.0,20.0
Global Desi,1.0,1.0,1.0,22.0
Godrej Interio,1.0,1.0,1.0,19.0
Godrej Natures Basket,1.0,1.0,1.0,16.0
Goibibo,1.0,1.0,1.0,41.0
Goli Vada Pav,1.0,1.0,1.0,15.0
Gozo Cabs,1.0,1.0,1.0,16.0
GrabOnRent,1.0,1.0,1.0,24.0
Grandfather,1.0,1.0,1.0,5.0
Grandmother,1.0,1.0,1.0,6.0
Gratuity,1.0,1.0,1.0,20.0
Great Learning,1.0,1.0,1.0,23.0
Grofers,1.0,1.0,1.0,21.0
Gujarat Gas,1.0,1.0,1.0,36.0
Guru,1.0,0.9333333333333333,0.9655172413793104,15.0
HDB Financial,1.0,1.0,1.0,18.0
HDBFS,1.0,1.0,1.0,13.0
HDFC EMI,1.0,1.0,1.0,18.0
HESCOM,1.0,1.0,1.0,15.0
HM,1.0,1.0,1.0,23.0
HP Gas,1.0,1.0,1.0,34.0
HPCL,1.0,1.0,1.0,22.0
HUL,1.0,1.0,1.0,24.0
Haldirams,1.0,1.0,1.0,22.0
Hanuman,1.0,1.0,1.0,5.0
Harish,1.0,1.0,1.0,5.0
Harsh,1.0,1.0,1.0,4.0
Headspace,1.0,1.0,1.0,20.0
Healthians,1.0,1.0,1.0,20.0
HelloWorld,1.0,1.0,1.0,18.0
Hero Fincorp,1.0,1.0,1.0,16.0
Hilton,1.0,1.0,1.0,19.0
Himalaya,1.0,1.0,1.0,20.0
Hinduja,1.0,1.0,1.0,17.0
Home,0.0,0.0,0.0,1.0
Home Centre,1.0,1.0,1.0,15.0
Home Credit,1.0,1.0,1.0,22.0
HomeLane,1.0,1.0,1.0,21.0
HomeTown,1.0,1.0,1.0,22.0
Housejoy,1.0,1.0,1.0,16.0
Housingcom,1.0,1.0,1.0,18.0
Hungama,1.0,1.0,1.0,39.0
Husband,1.0,1.0,1.0,4.0
Hyatt,1.0,1.0,1.0,18.0
Hyderabad Water,1.0,1.0,1.0,19.0
I,0.0,0.0,0.0,0.0
ICICI EMI,1.0,1.0,1.0,14.0
IDFC EMI,1.0,1.0,1.0,23.0
IIFL Finance,1.0,1.0,1.0,14.0
IIM,0.9523809523809523,1.0,0.975609756097561,20.0
IIT,1.0,1.0,1.0,22.0
INOX,1.0,1.0,1.0,13.0
IRCTC,1.0,1.0,1.0,13.0
ITC,1.0,1.0,1.0,19.0
ITC Hotels,1.0,1.0,1.0,14.0
Imarticus,1.0,1.0,1.0,18.0
Incentive,1.0,1.0,1.0,18.0
Indane,1.0,1.0,1.0,28.0
Indiabulls,1.0,1.0,1.0,13.0
Indian Accent,1.0,1.0,1.0,23.0
Indian Oil,1.0,1.0,1.0,18.0
Indira,1.0,1.0,1.0,3.0
Indra,1.0,1.0,1.0,4.0
Indraprastha Gas,1.0,1.0,1.0,38.0
Instamart,1.0,1.0,1.0,13.0
Intellipaat,1.0,1.0,1.0,14.0
Interest,1.0,1.0,1.0,22.0
Ira,1.0,0.8,0.8888888888888888,5.0
Isha,0.8333333333333334,1.0,0.9090909090909091,5.0
Ixigo,1.0,1.0,1.0,17.0
JNU,1.0,1.0,1.0,15.0
Jack Jones,1.0,1.0,1.0,22.0
Jana Finance,1.0,1.0,1.0,13.0
Jaro Education,1.0,1.0,1.0,18.0
Jaslok,1.0,1.0,1.0,13.0
Jaypee,1.0,1.0,1.0,15.0
Jaypore,1.0,1.0,1.0,15.0
Jetking,1.0,1.0,1.0,20.0
Jija,1.0,1.0,1.0,5.0
Jio,0.9411764705882353,1.0,0.9696969696969697,16.0
Jio BP,1.0,0.9444444444444444,0.9714285714285714,18.0
JioCinema,1.0,1.0,1.0,40.0
JioMart,1.0,1.0,1.0,21.0
JioSaavn,1.0,1.0,1.0,44.0
Jugnoo,1.0,1.0,1.0,19.0
Jumbo King,1.0,1.0,1.0,13.0
Jyoti,1.0,1.0,1.0,4.0
