,precision,recall,f1-score,support
Super Gas,1.0,1.0,1.0,22.0
Supr Daily,1.0,1.0,1.0,16.0
Suresh,1.0,1.0,1.0,6.0
Surya,1.0,1.0,1.0,4.0
Sushma,1.0,1.0,1.0,4.0
Swati,1.0,1.0,1.0,4.0
Sweet Truth,1.0,1.0,1.0,19.0
Swiggy,1.0,1.0,1.0,15.0
Swiggy One,1.0,1.0,1.0,15.0
TANGEDCO,1.0,1.0,1.0,17.0
TNEB,1.0,1.0,1.0,23.0
TVS Credit,1.0,1.0,1.0,19.0
TabCab,1.0,1.0,1.0,15.0
Taco Bell,1.0,1.0,1.0,18.0
Tai,1.0,1.0,1.0,9.0
Taj,1.0,1.0,1.0,16.0
Tanya,1.0,1.0,1.0,4.0
Tata Capital,1.0,1.0,1.0,19.0
Tata Cliq,1.0,1.0,1.0,23.0
Tata Memorial,1.0,1.0,1.0,18.0
Tata Power,1.0,1.0,1.0,22.0
Tata Power Delhi,1.0,1.0,1.0,22.0
Tata Sampann,1.0,1.0,1.0,22.0
Tau,1.0,1.0,1.0,6.0
TaxiForSure,1.0,1.0,1.0,15.0
Thatha,1.0,1.0,1.0,5.0
The Good Bowl,1.0,1.0,1.0,21.0
The Souled Store,1.0,1.0,1.0,15.0
Thyrocare,1.0,1.0,1.0,13.0
Tidal,1.0,1.0,1.0,18.0
Times Prime,1.0,1.0,1.0,19.0
Toppr,1.0,1.0,1.0,23.0
Toptal,1.0,1.0,1.0,20.0
Torrent Gas,1.0,1.0,1.0,32.0
Torrent Power,1.0,1.0,1.0,17.0
Total Gas,1.0,1.0,1.0,22.0
TownePlace,1.0,1.0,1.0,19.0
Treebo,1.0,1.0,1.0,13.0
Trident,1.0,1.0,1.0,19.0
TripAdvisor,1.0,1.0,1.0,19.0
US Pizza,1.0,1.0,1.0,14.0
Uber,1.0,1.0,1.0,21.0
Uber Auto,1.0,1.0,1.0,13.0
Uber Moto,1.0,1.0,1.0,23.0
Udemy,1.0,1.0,1.0,16.0
Ujjivan,1.0,1.0,1.0,14.0
Unacademy,0.9583333333333334,1.0,0.9787234042553191,23.0
Uncle,1.0,1.0,1.0,5.0
Uniqlo,1.0,1.0,1.0,12.0
UpGrad,1.0,1.0,1.0,16.0
Upwork,1.0,1.0,1.0,18.0
Urban Ladder,1.0,1.0,1.0,14.0
UrbanClap,1.0,1.0,1.0,16.0
Urbanic,1.0,1.0,1.0,18.0
Usha,1.0,1.0,1.0,5.0
Van Heusen,1.0,1.0,1.0,21.0
Varun,1.0,1.0,1.0,9.0
Vayu,1.0,1.0,1.0,4.0
Vedantu,1.0,1.0,1.0,16.0
Vero Moda,1.0,1.0,1.0,16.0
Vi,1.0,1.0,1.0,18.0
Vidyarthi Bhavan,1.0,1.0,1.0,21.0
Vihaan,1.0,1.0,1.0,4.0
Vijay,1.0,1.0,1.0,4.0
Vikas,1.0,1.0,1.0,5.0
Vishnu,1.0,1.0,1.0,4.0
Vivaan,1.0,1.0,1.0,4.0
Vivanta,1.0,1.0,1.0,14.0
Vivek,1.0,1.0,1.0,4.0
Vogo,1.0,1.0,1.0,14.0
Voot,1.0,1.0,1.0,16.0
W,1.0,0.8333333333333334,0.9090909090909091,12.0
W for Woman,1.0,1.0,1.0,16.0
WagonCab,1.0,1.0,1.0,16.0
Wendys,1.0,1.0,1.0,14.0
Westside,1.0,1.0,1.0,16.0
WhiteHat Jr,1.0,1.0,1.0,20.0
Wife,1.0,1.0,1.0,5.0
Wizcraft,1.0,1.0,1.0,14.0
Woodland,1.0,1.0,1.0,15.0
Wynk,1.0,1.0,1.0,31.0
Wynk Music,1.0,1.0,1.0,14.0
Yama,1.0,1.0,1.0,6.0
Yamini,1.0,1.0,1.0,5.0
Yatra,1.0,1.0,1.0,15.0
YouTube,1.0,1.0,1.0,14.0
YouTube Music,1.0,1.0,1.0,13.0
YouTube Premium,1.0,1.0,1.0,18.0
YouTube Revenue,1.0,1.0,1.0,17.0
Yulu,1.0,1.0,1.0,22.0
ZEE5,1.0,1.0,1.0,32.0
Zapvi,1.0,1.0,1.0,22.0
Zara,1.0,1.0,1.0,24.0
Zee Plex,1.0,1.0,1.0,14.0
Zepto,1.0,1.0,1.0,15.0
Zolo,1.0,1.0,1.0,20.0
Zomato,0.9444444444444444,1.0,0.9714285714285714,17.0
Zomato Pro,1.0,0.9565217391304348,0.9777777777777777,23.0
Zone,1.0,1.0,1.0,16.0
Zoomcar,1.0,1.0,1.0,21.0
iHeartRadio,1.0,1.0,1.0,18.0
accuracy,0.9986065954482118,0.9986065954482118,0.9986065954482118,0.9986065954482118
macro avg,0.9793426589527727,0.9796587830052312,0.9793938339388728,10765.0
weighted avg,0.9982911430557672,0.9986065954482118,0.9983870298106529,10765.0
