0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
526,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,708,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,463,0,0,0,0,0,0,1,0,114,0,0,0
0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,490,0,0,0,0,0,0,0,0,0,45
0,0,0,0,0,677,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,630,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,525,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,687,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1030,0,1,10,0
0,0,53,1,0,0,0,0,6,0,0,666,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,655,2,0
0,0,0,0,0,9,0,0,0,0,0,0,32,635,0
0,0,0,0,63,0,0,0,0,0,0,0,0,0,657
